,Fuel_Mdot,Tair,Treturn,Tsupply,Water_Mdot,Class
0,1.0,283.0,333.0,363.574744,3.0,Lean
1,1.0,283.0,333.0,362.3495168,3.0,Nominal
2,1.0,283.0,333.0,361.216941,3.0,ExcessAir
3,1.0,283.0,333.0,4605.482274536498,3.0,ExcessAir
4,1.0,283.0,333.0,359.1906622,3.0,ExcessAir
5,1.0,283.0,333.0,358.280736,3.0,ExcessAir
6,1.0,283.0,333.0,357.4305788,3.0,ExcessAir
7,1.0,283.0,333.0,356.6344892,3.0,ExcessAir
8,1.0,283.0,333.0,355.8874682,3.0,ExcessAir
9,1.0,283.0,333.0,355.1851147,3.0,ExcessAir
10,1.0,4157.238143771196,333.0,359.2389633,3.5,Lean
11,1.0,283.0,333.0,358.1878011,3.5,Nominal
12,1.0,283.0,333.0,357.2161268,3.5,ExcessAir
13,1.0,283.0,333.0,356.3152528,3.5,ExcessAir
14,1.0,283.0,333.0,355.4777127,3.5,ExcessAir
15,1.0,283.0,333.0,354.6970545,3.5,ExcessAir
16,1.0,283.0,333.0,353.9676739,3.5,ExcessAir
17,1.0,283.0,333.0,353.2846792,3.5,ExcessAir
18,1.0,283.0,333.0,352.6427985,3.5,ExcessAir
19,1.0,283.0,333.0,352.0390748,3.5,ExcessAir
20,1.0,283.0,333.0,355.9818197,4.0,Lean
21,1.0,283.0,333.0,355.0614156,4.0,Nominal
22,1.0,283.0,333.0,354.210611,4.0,ExcessAir
23,1.0,283.0,333.0,353.4217989,4.0,ExcessAir
24,1.0,283.0,333.0,352.6875436,4.0,ExcessAir
25,1.0,283.0,333.0,352.0026901,4.0,ExcessAir
26,1.0,283.0,333.0,351.3628207,4.0,ExcessAir
27,1.0,283.0,333.0,350.7636442,4.0,ExcessAir
28,1.0,283.0,333.0,350.2013983,4.0,ExcessAir
29,1.0,283.0,333.0,349.6727707,4.0,ExcessAir
30,1.0,283.0,333.0,353.4453295,4.5,Lean
31,1.0,283.0,5351.772765937617,352.6257345,4.5,Nominal
32,1.0,283.0,333.0,351.8676126,4.5,ExcessAir
33,1.0,283.0,333.0,351.1647296,4.5,ExcessAir
34,1.0,283.0,333.0,350.5112603,4.5,ExcessAir
35,1.0,283.0,333.0,349.902171,4.5,ExcessAir
36,1.0,283.0,333.0,349.333089,4.5,ExcessAir
37,1.0,283.0,333.0,348.8001979,4.5,ExcessAir
38,1.0,283.0,333.0,348.3001518,4.5,ExcessAir
39,1.0,283.0,333.0,347.8300048,4.5,ExcessAir
40,1.0,283.0,333.0000001,351.4108157,5.0,Lean
41,1.0,283.0,333.0000001,350.6723705,5.0,Nominal
42,1.0,283.0,333.0000001,349.9897645,5.0,ExcessAir
43,1.0,283.0,333.0000001,349.3568948,5.0,ExcessAir
44,1.0,283.0,333.0000001,348.7685168,5.0,ExcessAir
45,1.0,283.0,333.0000001,348.2200978,5.0,ExcessAir
46,1.0,283.0,333.0000001,347.707701,5.0,ExcessAir
47,1.0,283.0,333.0000001,347.2278901,5.0,ExcessAir
48,1.0,283.0,333.0000001,346.7776525,60.25028293207562,ExcessAir
49,1.0,283.0,333.0000001,346.3543356,5.0,ExcessAir
50,1.0,283.0,333.0000001,349.7444261,5.5,Lean
51,1.0,283.0,333.0000001,349.0728818,5.5,Nominal
52,1.0,283.0,333.0000001,348.452117,5.5,ExcessAir
53,1.0,5270.9290912198785,333.0000001,347.8765782,5.5,ExcessAir
54,1.0,283.0,333.0000001,347.3414985,5.5,ExcessAir
55,1.0,283.0,333.0000001,346.8427582,5.5,ExcessAir
56,1.0,283.0,333.0000001,346.3767768,5.5,ExcessAir
57,1.0,283.0,333.0000001,345.9404294,5.5,ExcessAir
58,1.0,283.0,333.0000001,345.5309763,5.5,ExcessAir
59,1.0,283.0,333.0000001,345.1460054,5.5,ExcessAir
60,1.0,283.0,333.0000001,348.3548588,6.0,Lean
61,1.0,283.0,333.0000001,347.7390945,6.0,Nominal
62,1.0,283.0,333.0000001,347.1698917,6.0,ExcessAir
63,1.0,283.0,333.0000001,346.6421615,6.0,ExcessAir
64,1.0,283.0,333.0000001,346.1515308,6.0,ExcessAir
65,1.0,283.0,333.0000001,345.6942192,6.0,ExcessAir
66,1.0,283.0,333.0000001,345.2669426,6.0,ExcessAir
67,1.0,283.0,333.0000001,344.8668384,6.0,ExcessAir
68,1.0,283.0,333.0000001,344.4913947,6.0,ExcessAir
69,1.0,283.0,333.0000001,344.1383996,6.0,ExcessAir
70,1.0,283.0,333.0000001,347.1784248,79.53688722224815,Lean
71,1.0,283.0,333.0000001,346.6098846,6.5,Nominal
72,1.0,283.0,333.0000001,346.0843349,6.5,ExcessAir
73,1.0,283.0,333.0000001,345.5970772,6.5,ExcessAir
74,1.0,283.0,333.0000001,345.1440736,6.5,ExcessAir
75,1.0,283.0,333.0000001,344.7218347,6.5,ExcessAir
76,1.0,283.0,333.0000001,344.3273294,6.5,ExcessAir
77,1.0,283.0,333.0000001,343.9579123,6.5,ExcessAir
78,1.0,283.0,333.0000001,343.6112619,6.5,ExcessAir
79,1.0,283.0,333.0000001,343.285338,6.5,ExcessAir
80,1.0,283.0,333.0000001,346.1695806,7.0,Lean
81,1.0,283.0,333.0000001,345.641537,7.0,Nominal
82,1.0,283.0,333.0000001,345.1534216,7.0,ExcessAir
83,1.0,283.0,333.0000001,344.7008707,7.0,ExcessAir
84,13.297904502182849,283.0,333.0000001,344.2801339,7.0,ExcessAir
85,1.0,283.0,333.0000001,343.8879704,7.0,ExcessAir
86,1.0,283.0,333.0000001,343.5215651,7.0,ExcessAir
87,1.0,283.0,333.0000001,343.178461,7.0,ExcessAir
88,1.0,283.0,333.0000001,342.8560687,7.0,ExcessAir
89,1.0,283.0,333.0000001,342.5529278,7.0,ExcessAir
90,1.0,283.0,333.0000001,345.294896,7.5,Lean
91,1.0,283.0,333.0000001,344.8019634,7.5,Nominal
92,1.0,283.0,333.0000001,344.3463041,7.5,ExcessAir
93,1.0,283.0,333.0000001,343.9238444,7.5,ExcessAir
94,1.0,283.0,333.0000001,343.5310834,7.5,ExcessAir
95,1.0,283.0,333.0000001,343.1649958,7.5,ExcessAir
96,1.0,283.0,333.0000001,342.8224705,7.5,ExcessAir
97,1.0,283.0,333.0000001,342.501721,7.5,ExcessAir
98,1.0,283.0,333.0000001,342.2007405,7.5,ExcessAir
99,1.0,283.0,333.0000001,341.917756,7.5,ExcessAir
100,1.0,283.0,333.0000001,344.5292778,8.0,Lean
101,1.0,283.0,333.0000001,344.0670781,8.0,Nominal
102,1.0,283.0,333.0000001,343.6398278,8.0,ExcessAir
103,1.0,283.0,333.0000001,343.243707,8.0,ExcessAir
104,1.0,283.0,333.0000001,342.8750255,8.0,ExcessAir
105,1.0,283.0,333.0000001,342.5312702,8.0,ExcessAir
106,1.0,283.0,333.0000001,342.2100934,8.0,ExcessAir
107,1.0,283.0,333.0000001,341.9093414,8.0,ExcessAir
108,1.0,283.0,333.0000001,341.627126,8.0,ExcessAir
109,1.0,283.0,333.0000001,341.3617845,8.0,ExcessAir
110,1.0,283.0,333.0000002,343.8535236,8.5,Lean
111,1.0,283.0,333.0000002,343.4184494,8.5,Nominal
112,1.0,283.0,333.0000002,343.0160674,8.5,ExcessAir
113,1.0,283.0,333.0000002,342.6426597,8.5,ExcessAir
114,1.0,283.0,333.0000002,342.2955022,8.5,ExcessAir
115,1.0,283.0,333.0000002,341.971921,8.5,ExcessAir
116,1.0,283.0,333.0000002,341.6695933,8.5,ExcessAir
117,1.0,283.0,333.0000002,341.3864916,8.5,ExcessAir
118,1.0,283.0,333.0000002,341.1208386,8.5,ExcessAir
119,1.0,283.0,333.0000002,340.8710693,8.5,ExcessAir
120,1.0,283.0,333.0000002,343.2526887,9.0,Lean
121,1.0,283.0,333.0000002,342.8412765,9.0,Nominal
122,1.0,283.0,333.0000002,342.4608503,9.0,ExcessAir
123,1.0,283.0,333.0000002,342.1081421,9.0,ExcessAir
124,1.0,283.0,333.0000002,341.7802291,9.0,ExcessAir
125,1.0,283.0,333.0000002,341.4745853,9.0,ExcessAir
126,1.0,283.0,333.0000002,341.1890168,9.0,ExcessAir
127,1.0,283.0,333.0000002,340.9216087,9.0,ExcessAir
128,1.0,283.0,333.0000002,340.6706819,9.0,ExcessAir
129,1.0,283.0,333.0000002,340.4347583,9.0,ExcessAir
130,1.0,283.0,333.0000002,342.7143304,9.5,Lean
131,1.0,283.0,333.0000002,342.3244007,9.5,Nominal
132,1.0,283.0,333.0000002,341.9639556,9.5,ExcessAir
133,1.0,283.0,333.0000002,341.6297726,9.5,ExcessAir
134,1.0,283.0,333.0000002,341.3190824,9.5,ExcessAir
135,1.0,283.0,333.0000002,341.0294918,9.5,ExcessAir
136,1.0,283.0,333.0000002,340.7589221,9.5,ExcessAir
137,1.0,283.0,333.0000002,340.5055589,9.5,ExcessAir
138,1.0,283.0,333.0000002,340.2678114,9.5,ExcessAir
139,1.0,283.0,333.0000002,340.0442791,9.5,ExcessAir
140,1.0,283.0,333.0000002,342.229582,10.0,Lean
141,1.0,283.0,333.0000002,341.8591105,10.0,Nominal
142,1.0,283.0,333.0000002,341.5166522,10.0,ExcessAir
143,1.0,283.0,333.0000002,341.1991455,10.0,ExcessAir
144,1.0,283.0,333.0000002,340.9039592,10.0,ExcessAir
145,1.0,283.0,333.0000002,340.6288197,10.0,ExcessAir
146,1.0,283.0,333.0000002,340.3717519,10.0,ExcessAir
147,1.0,283.0,333.0000002,340.1310319,183.67302856163374,ExcessAir
148,1.0,283.0,333.0000002,339.9051483,10.0,ExcessAir
149,1.0,283.0,333.0000002,339.6927706,10.0,ExcessAir
150,1.0,283.0,333.0000002,341.7909133,10.5,Lean
151,1.0,283.0,333.0000002,341.4380503,10.5,Nominal
152,1.0,283.0,333.0000002,341.111869,10.5,ExcessAir
